t,s_z(t),v_z(t),p_z(t),L(t)
0.3059996,1.801847E-16,3.340815E-16,1.670408E-13,0
0.3069996,1.805188E-16,3.340815E-16,1.670408E-13,0
0.3079996,1.808528E-16,3.340815E-16,1.670408E-13,0
0.3089996,1.811869E-16,3.340815E-16,1.670408E-13,0
0.3099996,1.81521E-16,3.340815E-16,1.670408E-13,0
0.3109995,1.818551E-16,3.340815E-16,1.670408E-13,0
0.3119995,1.821891E-16,3.340815E-16,1.670408E-13,0
0.3129995,1.825232E-16,3.340815E-16,1.670408E-13,0
0.3139995,1.828573E-16,3.340815E-16,1.670408E-13,0
0.3149995,1.831914E-16,3.340815E-16,1.670408E-13,0
0.3159995,1.835254E-16,3.340815E-16,1.670408E-13,0
0.3169995,1.838595E-16,3.340815E-16,1.670408E-13,0
0.3179995,1.841936E-16,3.340815E-16,1.670408E-13,0
0.3189994,1.845277E-16,3.340815E-16,1.670408E-13,0
0.3199994,1.848617E-16,3.340815E-16,1.670408E-13,0
0.3209994,1.851958E-16,3.340815E-16,1.670408E-13,0
0.3219994,1.855299E-16,3.340815E-16,1.670408E-13,0
0.3229994,1.85864E-16,3.340815E-16,1.670408E-13,0
0.3239994,1.86198E-16,3.340815E-16,1.670408E-13,0
0.3249994,1.865321E-16,3.340815E-16,1.670408E-13,0
0.3259993,1.868662E-16,3.340815E-16,1.670408E-13,0
0.3269993,1.872003E-16,3.340815E-16,1.670408E-13,0
0.3279993,1.875343E-16,3.340815E-16,1.670408E-13,0
0.3289993,1.878684E-16,3.340815E-16,1.670408E-13,0
0.3299993,1.882025E-16,3.340815E-16,1.670408E-13,0
0.3309993,1.885366E-16,3.340815E-16,1.670408E-13,0
0.3319993,1.888706E-16,3.340815E-16,1.670408E-13,0
0.3329993,1.892047E-16,3.340815E-16,1.670408E-13,0
0.3339992,1.895388E-16,3.340815E-16,1.670408E-13,0
0.3349992,1.898729E-16,3.340815E-16,1.670408E-13,0
0.3359992,1.902069E-16,3.340815E-16,1.670408E-13,0
0.3369992,1.90541E-16,3.340815E-16,1.670408E-13,0
0.3379992,1.908751E-16,3.340815E-16,1.670408E-13,0
0.3389992,1.912092E-16,3.340815E-16,1.670408E-13,0
