t,s_z(t),v_z(t),p_z(t),L(t)
0.3659988,4,0,0,5.765323E-12
0.3669988,4,0,0,5.765034E-12
0.3679988,4,0,0,5.764746E-12
0.3689988,4,0,0,5.764458E-12
0.3699988,4,0,0,5.76417E-12
0.3709988,4,0,0,5.763882E-12
0.3719988,4,0,0,5.763594E-12
0.3729987,4,0,0,5.763306E-12
0.3739987,4,0,0,5.763017E-12
0.3749987,4,0,0,5.762729E-12
0.3759987,4,0,0,5.762441E-12
0.3769987,4,0,0,5.762153E-12
0.3779987,4,0,0,5.761865E-12
0.3789987,4,0,0,5.761577E-12
0.3799987,4,0,0,5.761288E-12
0.3809986,4,0,0,5.761E-12
0.3819986,4,0,0,5.760712E-12
0.3829986,4,0,0,5.760424E-12
0.3839986,4,0,0,5.760135E-12
0.3849986,4,0,0,5.759847E-12
0.3859986,4,0,0,5.759559E-12
0.3869986,4,0,0,5.759271E-12
0.3879986,4,0,0,5.758983E-12
0.3889985,4,0,0,5.758695E-12
0.3899985,4,0,0,5.758407E-12
0.3909985,4,0,0,5.758118E-12
0.3919985,4,0,0,5.75783E-12
0.3929985,4,0,0,5.757542E-12
0.3939985,4,0,0,5.757254E-12
0.3949985,4,0,0,5.756966E-12
0.3959984,4,0,0,5.756678E-12
0.3969984,4,0,0,5.756389E-12
0.3979984,4,0,0,5.756101E-12
0.3989984,4,0,0,5.755814E-12
0.3999984,4,0,0,5.755526E-12
0.4009984,4,0,0,5.755239E-12
0.4019984,4,0,0,5.754951E-12
0.4029984,4,0,0,0
0.4039983,4,0,0,0
0.4049983,4,0,0,0
0.4059983,4,0,0,0
0.4069983,4,0,0,0
0.4079983,4,0,0,0
0.4089983,4,0,0,0
0.4099983,4,0,0,0
0.4109983,4,0,0,0
0.4119982,4,0,0,0
0.4129982,4,0,0,0
0.4139982,4,0,0,0
0.4149982,4,0,0,0
0.4159982,4,0,0,0
0.4169982,4,0,0,0
0.4179982,4,0,0,0
0.4189982,4,0,0,0
0.4199981,4,0,0,0
0.4209981,4,0,0,0
0.4219981,4,0,0,0
0.4229981,4,0,0,0
0.4239981,4,0,0,0
0.4249981,4,0,0,0
0.4259981,4,0,0,0
0.426998,4,0,0,0
0.427998,4,0,0,0
0.428998,4,0,0,0
